,name,object,friction,mass,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,restitution,scale_x,scale_y,scale_z,blocktype,ratio
0,tower_00013_0110111000,block0,0.89442718029,4.08000040054,0.016666667535899998,-0.20000000298,0.10000000149,1.0,0.0,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
1,tower_00013_0110111000,block1,0.89442718029,0.40800004005400003,0.25,-0.033333335071799995,0.300000011921,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
2,tower_00013_0110111000,block2,0.89442718029,0.40800004005400003,-0.300000011921,-0.0833333283663,0.300000011921,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
3,tower_00013_0110111000,block3,0.89442718029,4.08000040054,0.10000000149,0.20000000298,0.300000011921,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
4,tower_00013_0110111000,block4,0.89442718029,0.40800004005400003,-0.300000011921,-0.116666659713,0.699999988079,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
5,tower_00013_0110111000,block5,0.89442718029,0.40800004005400003,0.25,-0.06666667014359999,0.899999976158,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
6,tower_00013_0110111000,block6,0.89442718029,0.40800004005400003,0.10000000149,0.283333331347,0.899999976158,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
7,tower_00013_0110111000,block7,0.89442718029,4.08000040054,-0.116666659713,-0.0833333283663,1.10000002384,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
8,tower_00013_0110111000,block8,0.89442718029,4.08000040054,0.25,0.033333335071799995,1.29999995232,1.0,0.0,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
9,tower_00013_0110111000,block9,0.89442718029,4.08000040054,-0.15000000596,-0.033333335071799995,1.7000000476800001,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
10,tower_00029_1010011010,block0,0.89442718029,0.40800004005400003,-0.20000000298,0.033333335071799995,0.10000000149,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
11,tower_00029_1010011010,block1,0.89442718029,4.08000040054,0.216666668653,0.266666680574,0.10000000149,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
12,tower_00029_1010011010,block2,0.89442718029,0.40800004005400003,-0.166666656733,-0.283333331347,0.300000011921,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
13,tower_00029_1010011010,block3,0.89442718029,4.08000040054,-0.266666680574,0.06666667014359999,0.300000011921,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
14,tower_00029_1010011010,block4,0.89442718029,4.08000040054,0.166666656733,0.166666656733,0.300000011921,1.0,0.0,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
15,tower_00029_1010011010,block5,0.89442718029,0.40800004005400003,-0.0833333283663,-0.266666680574,0.699999988079,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
16,tower_00029_1010011010,block6,0.89442718029,0.40800004005400003,-0.283333331347,0.0833333283663,0.699999988079,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
17,tower_00029_1010011010,block7,0.89442718029,4.08000040054,0.15000000596,-0.283333331347,0.899999976158,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
18,tower_00029_1010011010,block8,0.89442718029,0.40800004005400003,-0.18333333730700002,-0.20000000298,1.10000002384,1.0,0.0,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
19,tower_00029_1010011010,block9,0.89442718029,4.08000040054,0.283333331347,-0.266666680574,1.29999995232,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
20,tower_00031_1000010111,block0,0.89442718029,0.40800004005400003,-0.016666667535899998,0.0,0.10000000149,1.0,0.0,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
21,tower_00031_1000010111,block1,0.89442718029,4.08000040054,-0.06666667014359999,0.133333340287,0.300000011921,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
22,tower_00031_1000010111,block2,0.89442718029,4.08000040054,-0.266666680574,-0.20000000298,0.300000011921,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
23,tower_00031_1000010111,block3,0.89442718029,4.08000040054,0.0,-0.10000000149,0.5,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
24,tower_00031_1000010111,block4,0.89442718029,4.08000040054,0.0833333283663,0.166666656733,0.699999988079,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
25,tower_00031_1000010111,block5,0.89442718029,0.40800004005400003,-0.233333319426,-0.233333319426,0.899999976158,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
26,tower_00031_1000010111,block6,0.89442718029,4.08000040054,-0.016666667535899998,-0.133333340287,1.10000002384,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
27,tower_00031_1000010111,block7,0.89442718029,0.40800004005400003,0.06666667014359999,0.18333333730700002,1.10000002384,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
28,tower_00031_1000010111,block8,0.89442718029,0.40800004005400003,0.266666680574,0.25,1.29999995232,1.0,0.0,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
29,tower_00031_1000010111,block9,0.89442718029,0.40800004005400003,0.06666667014359999,-0.20000000298,1.7000000476800001,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
30,tower_00035_0110101001,block0,0.89442718029,4.08000040054,-0.166666656733,0.25,0.10000000149,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
31,tower_00035_0110101001,block1,0.89442718029,0.40800004005400003,0.283333331347,0.283333331347,0.10000000149,1.0,0.0,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
32,tower_00035_0110101001,block2,0.89442718029,0.40800004005400003,0.233333319426,-0.18333333730700002,0.10000000149,0.70710670948,0.0,0.0,0.7071068286900001,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
33,tower_00035_0110101001,block3,0.89442718029,4.08000040054,0.016666667535899998,0.016666667535899998,0.300000011921,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,0,0.1
34,tower_00035_0110101001,block4,0.89442718029,0.40800004005400003,0.266666680574,-0.18333333730700002,0.5,0.707106769085,0.707106769085,0.0,0.0,0.0,0.20000000298,0.600000023842,0.20000000298,1,0.1
